packet size: 512bytes
number of packets: 16.0
signal frequency: 40
sample frequency: 80.0
force units: N, moment units: Nm
Counter: 65.0      , Fx: 0.1       ,Fy: -0.02     , Fz: 0.82      , Mx: -0.0024   ,My: 0.0016    ,Mz: 0.0042    ,
Counter: 66.0      , Fx: 0.06      ,Fy: -0.08     , Fz: -0.05     , Mx: 0.0016    ,My: -0.0032   ,Mz: 0.0052    ,
Counter: 67.0      , Fx: -0.2      ,Fy: -0.12     , Fz: 0.53      , Mx: 0.0016    ,My: -0.0016   ,Mz: -0.0063   ,
Counter: 68.0      , Fx: 0.03      ,Fy: -0.14     , Fz: -0.29     , Mx: 0.0       ,My: -0.0056   ,Mz: -0.001    ,
Counter: 69.0      , Fx: -0.04     ,Fy: 0.03      , Fz: 0.78      , Mx: -0.0024   ,My: -0.0024   ,Mz: -0.0052   ,
Counter: 70.0      , Fx: -0.18     ,Fy: 0.08      , Fz: 0.53      , Mx: -0.0016   ,My: 0.0008    ,Mz: 0.0042    ,
Counter: 71.0      , Fx: 0.11      ,Fy: 0.02      , Fz: 1.16      , Mx: -0.0032   ,My: 0.0       ,Mz: 0.001     ,
Counter: 72.0      , Fx: 0.13      ,Fy: -0.15     , Fz: 0.0       , Mx: -0.0016   ,My: 0.004     ,Mz: -0.001    ,
Counter: 73.0      , Fx: -0.1      ,Fy: -0.07     , Fz: -0.05     , Mx: 0.0008    ,My: -0.0056   ,Mz: -0.0031   ,
Counter: 74.0      , Fx: -0.14     ,Fy: 0.09      , Fz: -0.97     , Mx: -0.0016   ,My: 0.004     ,Mz: 0.001     ,
Counter: 75.0      , Fx: -0.08     ,Fy: -0.17     , Fz: -0.19     , Mx: 0.0016    ,My: -0.0016   ,Mz: -0.0021   ,
Counter: 76.0      , Fx: -0.21     ,Fy: 0.16      , Fz: -0.97     , Mx: 0.0008    ,My: 0.0016    ,Mz: 0.001     ,
Counter: 77.0      , Fx: 0.07      ,Fy: 0.16      , Fz: -0.34     , Mx: -0.004    ,My: -0.0032   ,Mz: -0.001    ,
Counter: 78.0      , Fx: 0.03      ,Fy: -0.01     , Fz: -0.87     , Mx: -0.0032   ,My: 0.0008    ,Mz: 0.0021    ,
Counter: 79.0      , Fx: 0.0       ,Fy: 0.09      , Fz: 0.82      , Mx: -0.0024   ,My: 0.0008    ,Mz: -0.0031   ,
Counter: 80.0      , Fx: -0.03     ,Fy: -0.05     , Fz: -0.34     , Mx: 0.0016    ,My: 0.0       ,Mz: -0.001    ,
Counter: 81.0      , Fx: 0.02      ,Fy: -0.11     , Fz: -0.15     , Mx: 0.0008    ,My: -0.0024   ,Mz: 0.0031    ,
Counter: 82.0      , Fx: 0.06      ,Fy: -0.13     , Fz: -1.65     , Mx: 0.0       ,My: -0.0008   ,Mz: -0.0052   ,
Counter: 83.0      , Fx: -0.1      ,Fy: -0.13     , Fz: 0.29      , Mx: 0.0024    ,My: -0.0024   ,Mz: -0.001    ,
Counter: 84.0      , Fx: 0.0       ,Fy: -0.02     , Fz: 0.58      , Mx: -0.0008   ,My: 0.0008    ,Mz: -0.001    ,
Counter: 85.0      , Fx: 0.1       ,Fy: -0.22     , Fz: -0.58     , Mx: -0.0008   ,My: -0.0032   ,Mz: 0.0021    ,
Counter: 86.0      , Fx: 0.16      ,Fy: 0.01      , Fz: 0.44      , Mx: 0.0008    ,My: -0.0008   ,Mz: 0.0021    ,
Counter: 87.0      , Fx: 0.01      ,Fy: -0.14     , Fz: -0.34     , Mx: -0.0008   ,My: 0.0016    ,Mz: -0.0052   ,
Counter: 88.0      , Fx: -0.04     ,Fy: -0.11     , Fz: -0.29     , Mx: 0.0008    ,My: 0.0       ,Mz: -0.0042   ,
Counter: 89.0      , Fx: 0.02      ,Fy: 0.15      , Fz: -0.1      , Mx: 0.0024    ,My: 0.0024    ,Mz: 0.0021    ,
Counter: 90.0      , Fx: -0.01     ,Fy: 0.05      , Fz: 1.55      , Mx: 0.0008    ,My: 0.0048    ,Mz: -0.0042   ,
Counter: 91.0      , Fx: -0.08     ,Fy: 0.03      , Fz: 0.29      , Mx: 0.0       ,My: -0.004    ,Mz: 0.001     ,
Counter: 92.0      , Fx: -0.04     ,Fy: -0.25     , Fz: -0.15     , Mx: -0.0016   ,My: 0.0032    ,Mz: -0.0021   ,
Counter: 93.0      , Fx: -0.06     ,Fy: -0.03     , Fz: -0.1      , Mx: 0.0       ,My: -0.0032   ,Mz: -0.0052   ,
Counter: 94.0      , Fx: -0.3      ,Fy: -0.21     , Fz: -0.34     , Mx: 0.0       ,My: -0.0008   ,Mz: 0.0       ,
Counter: 95.0      , Fx: 0.1       ,Fy: 0.12      , Fz: 0.97      , Mx: -0.0024   ,My: 0.0024    ,Mz: -0.0031   ,
Counter: 96.0      , Fx: 0.0       ,Fy: 0.02      , Fz: 0.24      , Mx: -0.0008   ,My: -0.0016   ,Mz: -0.001    ,
Counter: 97.0      , Fx: 0.04      ,Fy: -0.23     , Fz: 0.0       , Mx: -0.0016   ,My: 0.0016    ,Mz: -0.001    ,
Counter: 98.0      , Fx: 0.03      ,Fy: 0.2       , Fz: 1.12      , Mx: -0.0024   ,My: -0.004    ,Mz: -0.0042   ,
